Please provide hourly results in ug/m3 of PM 10 monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please indicate if any of the stations listed below have been reomved from the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Marino,,,Coleraine St.,,,Phoenix Park,,,Wood Quay (Winetavern St.),,,Rathmines,,,Ballyfermot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,PM2.5(µg m-3),Flag,Comment ,PM2.5 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-11,48.7,1,,11.4,1,,4.7,1,,11.1,1,,14.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-11,6.9,1,,6.5,1,,5.3,1,,11.0,1,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-11,9.7,1,,12.6,1,,6.8,1,,36.3,1,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-11,3.5,1,,9.3,1,,8.5,1,,14.6,1,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-11,2.2,1,,2.8,1,,3.9,1,,7.2,1,,5.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-11,6.7,1,,5.69,1,,12.5,1,,15.6,1,,18.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jan-11,15.8,1,,18.6,1,,15.7,1,,29.4,1,,30.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-11,17.9,1,,16.4,1,,14.6,1,,22.5,1,,24.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-11,27.6,1,,50.8,1,,41.5,1,,55.0,1,,58.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jan-11,67.8,1,,86.5,1,,58.5,1,,96.9,1,,64.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
