Please provide hourly results in ug/m3 of PM 10 monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please indicate if any of the stations listed below have been reomved from the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Marino,,,Coleraine St.,,,Phoenix Park,,,Wood Quay (Winetavern St.),,,Rathmines,,,Ballyfermot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,PM2.5(µg m-3),Flag,Comment ,PM2.5 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-12,34.7,1,,6.7,1,,7.9,1,,10.7,1,,12.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-12,6.8,1,,5.7,1,,3.7,1,,9.9,1,,9.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-12,7.8,1,,5.4,1,,5.8,1,,8.1,1,,11.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-12,6.1,1,,4.2,1,,7.8,1,,9.6,1,,9.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-12,13.5,1,,10.2,1,,17.9,1,,17.6,1,,22.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-12,5.3,1,,7.3,1,,11.9,1,,13.6,1,,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-12,7.1,1,,7.8,1,,16.2,1,,,5,Insufficient exposure time,18.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-12,5.3,1,,4.5,1,,8.6,1,,8.9,1,,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-12,6.9,1,,7.0,1,,9.2,1,,12.6,1,,12.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-12,2.4,1,,2.3,1,,4.7,1,,29.0,1,,5.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
