Please provide hourly results in ug/m3 of SO2  monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,
The daily average will calculate automatically. Please also provide a flag number (see comment for list) for the data entered if possible. ,,,,,,,,,,,,,
The comment field is optional. If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,
Please indicate if any of the stations listed have been reomved from the network.,,,,,,,,,,,,,
Dublin City Council,,                  Coleraine Street ,,,,                        Wood Quay (Winetavern St.),,,,                               ,,Ballyfermot,
Site,,,,,,                ,,,,,,,
Date,Time,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment,SO2 ug/m3,Daily Avg 24 hr.,Flag,Comment
07/01/2012,18.00,-0.3,,2,,1.0,,2,,,,,
07/01/2012,19.00,-0.2,,2,,1.0,,2,,,,,
07/01/2012,20.00,-0.1,,2,,0.8,,2,,,,,
07/01/2012,21.00,-0.3,,2,,0.8,,2,,,,,
07/01/2012,22.00,-0.2,,2,,0.6,,2,,,,,
07/01/2012,23.00,-0.2,,2,,0.9,,2,,,,,
08/01/2012,0.00,-0.2,-0.4,2,,0.9,1.1,2,,,#DIV/0!,,
08/01/2012,1.00,-0.4,,2,,0.8,,2,,,,,
08/01/2012,2.00,-0.4,,2,,0.7,,2,,,,,
08/01/2012,3.00,-0.3,,2,,0.8,,2,,,,,
08/01/2012,4.00,-0.3,,2,,0.9,,2,,,,,
08/01/2012,5.00,-0.5,,2,,0.7,,2,,,,,
08/01/2012,6.00,-0.4,,2,,0.8,,2,,,,,
08/01/2012,7.00,-0.4,,2,,0.4,,2,,,,,
08/01/2012,8.00,-0.4,,2,,0.4,,2,,,,,
08/01/2012,9.00,-0.4,,2,,0.6,,2,,,,,
08/01/2012,10.00,-0.4,,2,,0.6,,2,,,,,
08/01/2012,11.00,-0.2,,2,,0.7,,2,,,,,
08/01/2012,12.00,-0.1,,2,,0.7,,2,,,,,
08/01/2012,13.00,-0.3,,2,,0.7,,2,,,,,
08/01/2012,14.00,-0.3,,2,,0.8,,2,,,,,
08/01/2012,15.00,-0.4,,2,,0.8,,2,,,,,
08/01/2012,16.00,-0.1,,2,,0.7,,2,,,,,
08/01/2012,17.00,-0.3,,2,,0.6,,2,,,,,
08/01/2012,18.00,-0.3,,2,,0.7,,2,,,,,
08/01/2012,19.00,-0.3,,2,,0.5,,2,,,,,
08/01/2012,20.00,-0.2,,2,,0.4,,2,,,,,
08/01/2012,21.00,-0.3,,2,,0.5,,2,,,,,
08/01/2012,22.00,-0.4,,2,,0.7,,2,,,,,
08/01/2012,23.00,-0.3,,2,,0.5,,2,,,,,
09/01/2012,0.00,-0.5,-0.3,2,,0.5,0.7,2,,,#DIV/0!,,
09/01/2012,1.00,-0.5,,2,,0.4,,2,,,,,
09/01/2012,2.00,-0.5,,2,,0.6,,2,,,,,
09/01/2012,3.00,-0.5,,2,,0.4,,2,,,,,
09/01/2012,4.00,-0.5,,2,,0.5,,2,,,,,
09/01/2012,5.00,-0.5,,2,,0.9,,2,,,,,
09/01/2012,6.00,-0.3,,2,,0.8,,2,,,,,
09/01/2012,7.00,-0.2,,2,,0.4,,2,,,,,
09/01/2012,8.00,-0.2,,2,,1.0,,2,,,,,
09/01/2012,9.00,-0.3,,2,,0.8,,2,,,,,
09/01/2012,10.00,-0.2,,2,,1.0,,2,,,,,
09/01/2012,11.00,-0.3,,2,,1.0,,2,,,,,
09/01/2012,12.00,-0.2,,2,,0.5,,2,,,,,
09/01/2012,13.00,-0.3,,2,,0.7,,2,,,,,
09/01/2012,14.00,-0.3,,2,,0.7,,2,,,,,
09/01/2012,15.00,-0.2,,2,,0.8,,2,,,,,
09/01/2012,16.00,0.3,,2,,0.7,,2,,,,,
09/01/2012,17.00,0.5,,2,,1.4,,2,,,,,
09/01/2012,18.00,0.4,,2,,1.8,,2,,,,,
09/01/2012,19.00,-0.3,,2,,1.2,,2,,,,,
09/01/2012,20.00,0.1,,2,,1.1,,2,,,,,
09/01/2012,21.00,-0.1,,2,,1.0,,2,,,,,
09/01/2012,22.00,-0.1,,2,,1.1,,2,,,,,
09/01/2012,23.00,-0.1,,2,,1.3,,2,,,,,
10/01/2012,0.00,-0.3,-0.2,2,,0.9,0.9,2,,,#DIV/0!,,
10/01/2012,1.00,-0.4,,2,,1.0,,2,,,,,
10/01/2012,2.00,-0.5,,2,,0.9,,2,,,,,
10/01/2012,3.00,-0.5,,2,,0.6,,2,,,,,
10/01/2012,4.00,-0.5,,2,,0.9,,2,,,,,
10/01/2012,5.00,-0.6,,2,,0.7,,2,,,,,
10/01/2012,6.00,-0.5,,2,,0.7,,2,,,,,
10/01/2012,7.00,-0.2,,2,,0.6,,2,,,,,
10/01/2012,8.00,-0.2,,2,,0.8,,2,,,,,
10/01/2012,9.00,-0.3,,2,,1.0,,2,,,,,
10/01/2012,10.00,-0.3,,2,,1.1,,2,,,,,
10/01/2012,11.00,-0.3,,2,,0.9,,2,,,,,
10/01/2012,12.00,-0.4,,2,,0.8,,2,,,,,
10/01/2012,13.00,-0.3,,2,,0.8,,2,,,,,
10/01/2012,14.00,-0.3,,2,,0.8,,2,,,,,
10/01/2012,15.00,-0.1,,2,,0.8,,2,,,,,
10/01/2012,16.00,-0.2,,2,,0.7,,2,,,,,
10/01/2012,17.00,-0.3,,2,,1.0,,2,,,,,
10/01/2012,18.00,-0.3,,2,,0.7,,2,,,,,
10/01/2012,19.00,-0.3,,2,,0.8,,2,,,,,
10/01/2012,20.00,-0.3,,2,,1.0,,2,,,,,
10/01/2012,21.00,-0.4,,2,,0.8,,2,,,,,
10/01/2012,22.00,-0.4,,2,,0.9,,2,,,,,
10/01/2012,23.00,-0.4,,2,,0.7,,2,,,,,
11/01/2012,0.00,-0.4,-0.3,2,,0.8,0.8,2,,,#DIV/0!,,
11/01/2012,1.00,-0.4,,2,,0.7,,2,,,,,
11/01/2012,2.00,-0.4,,2,,0.4,,2,,,,,
11/01/2012,3.00,-0.5,,2,,0.4,,2,,,,,
11/01/2012,4.00,-0.5,,2,,0.7,,2,,,,,
11/01/2012,5.00,-0.5,,2,,0.5,,2,,,,,
11/01/2012,6.00,-0.3,,2,,0.6,,2,,,,,
11/01/2012,7.00,-0.1,,2,,0.5,,2,,,,,
11/01/2012,8.00,0.2,,2,,0.5,,2,,,,,
11/01/2012,9.00,-0.1,,2,,0.9,,2,,,,,
11/01/2012,10.00,-0.2,,2,,0.7,,2,,,,,
11/01/2012,11.00,-0.1,,2,,0.6,,2,,,,,
11/01/2012,12.00,-0.1,,2,,0.6,,2,,,,,
11/01/2012,13.00,-0.3,,2,,0.9,,2,,,,,
11/01/2012,14.00,-0.2,,2,,0.7,,2,,,,,
11/01/2012,15.00,-0.2,,2,,0.7,,2,,,,,
11/01/2012,16.00,-0.4,,2,,0.8,,2,,,,,
11/01/2012,17.00,-0.3,,2,,0.8,,2,,,,,
11/01/2012,18.00,-0.3,,2,,0.8,,2,,,,,
11/01/2012,19.00,-0.4,,2,,0.7,,2,,,,,
11/01/2012,20.00,-0.2,,2,,0.8,,2,,,,,
11/01/2012,21.00,-0.3,,2,,0.5,,2,,,,,
11/01/2012,22.00,-0.4,,2,,0.5,,2,,,,,
11/01/2012,23.00,-0.3,,2,,0.4,,2,,,,,
12/01/2012,0.00,-0.4,-0.3,2,,0.7,0.6,2,,,#DIV/0!,,
12/01/2012,1.00,-0.5,,2,,0.6,,2,,,,,
12/01/2012,2.00,-0.5,,2,,0.6,,2,,,,,
12/01/2012,3.00,-0.4,,2,,0.6,,2,,,,,
12/01/2012,4.00,-0.5,,2,,0.8,,2,,,,,
12/01/2012,5.00,-0.5,,2,,0.6,,2,,,,,
12/01/2012,6.00,-0.5,,2,,0.6,,2,,,,,
12/01/2012,7.00,-0.4,,2,,0.7,,2,,,,,
12/01/2012,8.00,-0.4,,2,,0.8,,2,,,,,
12/01/2012,9.00,-0.5,,2,,0.8,,2,,,,,
12/01/2012,10.00,-0.4,,2,,1.0,,2,,,,,
12/01/2012,11.00,-0.3,,2,,0.9,,2,,,,,
12/01/2012,12.00,-0.3,,2,,0.8,,2,,,,,
12/01/2012,13.00,-0.3,,2,,0.9,,2,,,,,
12/01/2012,14.00,-0.3,,2,,0.9,,2,,,,,
12/01/2012,15.00,-0.3,,2,,1.0,,2,,,,,
12/01/2012,16.00,-0.5,,2,,1.0,,2,,,,,
12/01/2012,17.00,0.0,,2,,1.1,,2,,,,,
12/01/2012,18.00,0.6,,2,,1.7,,2,,,,,
12/01/2012,19.00,0.4,,2,,1.5,,2,,,,,
12/01/2012,20.00,0.6,,2,,1.4,,2,,,,,
12/01/2012,21.00,0.4,,2,,1.3,,2,,,,,
12/01/2012,22.00,0.3,,2,,1.7,,2,,,,,
12/01/2012,23.00,0.3,,2,,1.4,,2,,,,,
13/01/2012,0.00,0.0,-0.2,2,,1.0,1.0,2,,,#DIV/0!,,
13/01/2012,1.00,-0.3,,2,,1.4,,2,,,,,
13/01/2012,2.00,-0.1,,2,,0.9,,2,,,,,
13/01/2012,3.00,-0.2,,2,,1.5,,2,,,,,
13/01/2012,4.00,-0.3,,2,,1.4,,2,,,,,
13/01/2012,5.00,-0.2,,2,,0.8,,2,,,,,
13/01/2012,6.00,0.0,,2,,1.5,,2,,,,,
13/01/2012,7.00,0.8,,2,,1.9,,2,,,,,
13/01/2012,8.00,1.0,,2,,2.9,,2,,,,,
13/01/2012,9.00,1.1,,2,,2.8,,2,,,,,
13/01/2012,10.00,1.1,,2,,3.5,,2,,,,,
13/01/2012,11.00,0.9,,2,,3.4,,2,,,,,
13/01/2012,12.00,0.8,,2,,3.3,,2,,,,,
13/01/2012,13.00,0.1,,2,,2.8,,2,,,,,
13/01/2012,14.00,0.2,,2,,1.7,,2,,,,,
13/01/2012,15.00,0.3,,2,,1.4,,2,,,,,
13/01/2012,16.00,-0.1,,2,,1.4,,2,,,,,
13/01/2012,17.00,0.3,,2,,1.5,,2,,,,,
13/01/2012,18.00,1.2,,2,,2.4,,2,,,,,
13/01/2012,19.00,5.2,,2,,3.2,,2,,,,,
13/01/2012,20.00,6.9,,2,,5.1,,2,,,,,
13/01/2012,21.00,9.0,,2,,6.1,,2,,,,,
13/01/2012,22.00,9.3,,2,,8.6,,2,,,,,
13/01/2012,23.00,8.0,,2,,8.0,,2,,,,,
14/01/2012,0.00,7.6,1.9,2,,7.2,2.9,2,,,#DIV/0!,,
14/01/2012,1.00,7.1,,2,,7.8,,2,,,,,
14/01/2012,2.00,6.4,,2,,7.9,,2,,,,,
14/01/2012,3.00,4.6,,2,,7.8,,2,,,,,
14/01/2012,4.00,4.4,,2,,7.8,,2,,,,,
14/01/2012,5.00,2.1,,2,,6.2,,2,,,,,
14/01/2012,6.00,0.5,,2,,6.0,,2,,,,,
14/01/2012,7.00,0.2,,2,,1.3,,2,,,,,
14/01/2012,8.00,0.1,,2,,1.3,,2,,,,,
14/01/2012,9.00,0.0,,2,,1.3,,2,,,,,
14/01/2012,10.00,0.2,,2,,1.6,,2,,,,,
14/01/2012,11.00,0.1,,2,,1.5,,2,,,,,
14/01/2012,12.00,0.0,,2,,1.4,,2,,,,,
14/01/2012,13.00,0.0,,2,,1.4,,2,,,,,
14/01/2012,14.00,-0.1,,2,,1.6,,2,,,,,
14/01/2012,15.00,-0.3,,2,,1.8,,2,,,,,
14/01/2012,16.00,0.1,,2,,1.7,,2,,,,,
14/01/2012,17.00,0.0,,2,,1.6,,2,,,,,
14/01/2012,18.00,0.1,,2,,1.5,,2,,,,,
14/01/2012,19.00,0.0,,2,,1.6,,2,,,,,
14/01/2012,20.00,0.1,,2,,1.5,,2,,,,,
14/01/2012,21.00,0.0,,2,,1.4,,2,,,,,
14/01/2012,22.00,-0.2,,2,,1.5,,2,,,,,
14/01/2012,23.00,-0.2,,2,,1.5,,2,,,,,
15/01/2012,0.00,-0.3,1.4,2,,1.6,3.2,2,,,#DIV/0!,,
15/01/2012,1.00,-0.3,,2,,1.4,,2,,,,,
15/01/2012,2.00,-0.3,,2,,1.6,,2,,,,,
15/01/2012,3.00,-0.4,,2,,1.4,,2,,,,,
15/01/2012,4.00,-0.4,,2,,1.5,,2,,,,,
15/01/2012,5.00,-0.3,,2,,1.3,,2,,,,,
15/01/2012,6.00,-0.2,,2,,1.5,,2,,,,,
15/01/2012,7.00,-0.2,,2,,1.5,,2,,,,,
15/01/2012,8.00,-0.3,,2,,1.5,,2,,,,,
15/01/2012,9.00,-0.2,,2,,1.4,,2,,,,,
15/01/2012,10.00,-0.3,,2,,1.5,,2,,,,,
15/01/2012,11.00,-0.3,,2,,1.6,,2,,,,,
15/01/2012,12.00,-0.3,,2,,1.7,,2,,,,,
15/01/2012,13.00,-0.3,,2,,1.7,,2,,,,,
15/01/2012,14.00,-0.4,,2,,1.7,,2,,,,,
15/01/2012,15.00,-0.3,,2,,1.8,,2,,,,,
15/01/2012,16.00,-0.2,,2,,1.7,,2,,,,,
15/01/2012,17.00,-0.1,,2,,1.6,,2,,,,,
15/01/2012,18.00,-0.2,,2,,1.7,,2,,,,,
15/01/2012,19.00,-0.1,,2,,1.6,,2,,,,,
15/01/2012,20.00,-0.2,,2,,1.7,,2,,,,,
15/01/2012,21.00,-0.2,,2,,1.6,,2,,,,,
15/01/2012,22.00,-0.2,,2,,1.7,,2,,,,,
15/01/2012,23.00,-0.3,,2,,1.8,,2,,,,,
16/01/2012,0.00,-0.4,-0.3,2,,1.7,1.6,2,,,#DIV/0!,,
16/01/2012,1.00,-0.4,,2,,1.7,,2,,,,,
16/01/2012,2.00,-0.4,,2,,1.7,,2,,,,,
16/01/2012,3.00,-0.5,,2,,1.4,,2,,,,,
16/01/2012,4.00,-0.5,,2,,1.5,,2,,,,,
16/01/2012,5.00,-0.4,,2,,1.4,,2,,,,,
16/01/2012,6.00,-0.3,,2,,1.4,,2,,,,,
16/01/2012,7.00,-0.3,,2,,1.5,,2,,,,,
16/01/2012,8.00,-0.1,,2,,1.5,,2,,,,,
16/01/2012,9.00,0.2,,2,,1.9,,2,,,,,
16/01/2012,10.00,-0.1,,2,,1.2,,2,,,,,
16/01/2012,11.00,-0.1,,2,,1.2,,2,,,,,
16/01/2012,12.00,-0.1,,2,,1.4,,2,,,,,
16/01/2012,13.00,-0.1,,2,,1.6,,2,,,,,
16/01/2012,14.00,-0.2,,2,,1.8,,2,,,,,
16/01/2012,15.00,0.1,,2,,2.4,,2,,,,,
